geography_code,Claimants percentage
E14000613,1.7508553028778426
E14000614,2.208004450780625
E14000615,6.655558017009719
E14000616,2.466453674121406
E14000617,2.363112391930836
E14000618,2.417806575473962
E14000619,2.3230377590429083
E14000620,2.00667483418529
E14000621,3.449337850323375
E14000622,1.787238583013231
E14000623,1.5992616847242065
E14000624,1.4764418931528531
E14000625,1.5650722251849103
E14000626,3.4408093679612737
E14000627,1.3911308844180217
E14000628,2.4982627973925418
E14000629,2.824103472477524
E14000630,2.2944284787243903
E14000631,1.8345017362248577
E14000632,2.588729169316881
E14000633,2.4268990217565616
E14000634,4.104104104104104
E14000635,1.7528106472483949
E14000636,3.4697434174610504
E14000637,1.9993258087389136
E14000638,1.4461363726409489
E14000639,2.490721649484536
E14000640,2.429284937197112
E14000641,1.7016852702998468
E14000642,3.05379375146817
E14000643,2.060254418956908
E14000644,3.062438057482656
E14000645,2.7280627454431454
E14000646,1.4608038103655692
E14000647,1.6681715921090892
E14000648,2.5552555255525555
E14000649,5.737029112110088
E14000650,3.997151827038224
E14000651,3.921095224043423
E14000652,4.285763265865896
E14000653,2.414289956773761
E14000654,6.035302601189295
E14000655,7.689192876823267
E14000656,3.852822192255827
E14000657,6.426495137810672
E14000658,3.250705657298035
E14000659,2.661805510744015
E14000660,1.8414570603003173
E14000661,3.289240497355848
E14000662,3.544719401714598
E14000663,6.136475208640157
E14000664,1.3131502619085411
E14000665,1.7487491997249427
E14000666,3.987760557623692
E14000667,2.4247249565720903
E14000668,4.279853642310678
E14000669,3.2167142748805584
E14000670,2.4774220754120253
E14000671,4.876158727373746
E14000672,3.68335337361684
E14000673,5.563732048880564
E14000674,5.688145183134198
E14000675,7.783127762020975
E14000676,7.483219246361402
E14000677,3.3684805401466367
E14000678,1.394378568291612
E14000679,8.412962193601995
E14000680,1.609706288665986
E14000681,1.9260484450151252
E14000682,2.128759167199882
E14000683,1.847029265662464
E14000684,3.3001150698017763
E14000685,1.920315083993385
E14000686,1.664429883424121
E14000687,8.362034706583653
E14000688,2.281834372217275
E14000689,1.4357545283818989
