geography_code,Claimants percentage
E14000638,3.068425897514575
E14000639,2.03207381370826
E14000640,3.455515702913132
E14000641,1.40753572975314
E14000642,7.524969216035025
E14000643,5.08209538702111
E14000644,3.928726102827445
E14000645,4.994277390490064
E14000646,2.944640753828033
E14000647,3.7713078895761054
E14000648,3.910025481064933
E14000649,6.440400736045798
E14000650,4.997329671168078
E14000651,2.5198089023537635
E14000652,5.051977071796367
E14000653,4.316816816816817
E14000654,7.624709227190489
E14000655,9.157261607082516
E14000656,5.468150422102839
E14000657,7.492047547296165
E14000658,5.725636831035288
E14000659,4.122831959056014
E14000660,3.0327306019684137
E14000661,5.896958410924891
E14000662,4.729583363419741
E14000663,7.679668524074867
E14000664,2.2568093385214008
E14000665,2.5959169306582197
E14000666,6.3820794590025365
E14000667,5.126182965299685
E14000668,7.834013863830595
E14000669,6.943691005750244
E14000670,5.628517823639775
E14000671,8.052455999079719
E14000672,6.441020459712049
E14000673,7.920900251283731
E14000674,5.607913388893216
E14000675,7.97469482313107
E14000676,7.443758270842523
E14000677,8.30413909432983
E14000678,2.6327838827838828
E14000679,6.517150395778364
E14000680,2.2106775726760253
E14000681,2.8494456533001764
E14000682,4.3719721139075975
E14000683,4.469490866692577
E14000684,5.44535200311163
E14000685,3.2229274097580327
E14000686,3.189589180913498
E14000687,8.031378408666418
E14000688,4.716981132075472
E14000689,2.748826022219677
E14000690,5.98404255319149
E14000691,6.533914125700062
E14000692,4.159733777038269
E14000693,3.5414623515310018
E14000694,2.0892041589738604
E14000695,5.37694634255629
E14000696,6.040375139087585
E14000697,2.702410550210788
E14000698,1.6805377720870678
E14000699,2.3859727000332924
E14000700,3.993610223642172
E14000701,5.751310425160163
E14000702,2.013609220941536
E14000703,3.62116991643454
E14000704,5.498940571082636
E14000705,2.902675014228799
E14000706,4.249506753680377
E14000707,4.77371357718537
E14000708,6.316410861865407
E14000709,4.606329437857204
E14000710,5.2337752965806
E14000711,4.400843495003208
E14000712,4.768863933543574
E14000713,4.005826656955572
E14000714,4.010405376110991
E14000715,6.054590570719602
E14000716,7.673526334147191
E14000717,7.260406582768635
E14000718,6.577543909549882
E14000719,1.1993791449132214
E14000720,7.018079182241209
E14000721,6.837786661056175
E14000722,5.8105752469494485
E14000723,7.998511904761904
E14000724,2.6301591583490693
E14000725,6.426735218508997
E14000726,4.907539118065434
E14000727,4.25273390036452
E14000728,3.148048210109732
E14000729,5.765498344559881
E14000730,2.33501290401868
E14000731,4.087324485477977
E14000732,4.676291655316444
E14000733,6.85080469769465
E14000734,3.176620076238882
E14000735,6.645023840925231
E14000736,4.985044865403789
E14000737,6.549019607843137
E14000738,3.7077089448478295
E14000739,4.897212356043483
E14000740,5.604395604395605
E14000741,4.592346089850249
E14000742,1.6638935108153077
E14000743,3.751278845060816
E14000744,2.0542709726734185
E14000745,3.7574634548074943
E14000746,2.0279039584685266
E14000747,6.624791441750907
E14000748,3.4795575991052567
E14000749,2.405820913038376
E14000750,2.9444504290997884
E14000751,4.592745336957541
E14000752,4.951394567093668
E14000753,2.21047573282076
E14000754,6.48621678932269
E14000755,3.7848997247345655
E14000756,5.061485155241525
E14000757,3.399406300871397
E14000758,7.1200850159404885
E14000759,4.867930917710803
E14000760,6.307271212662144
E14000761,5.117479530081879
E14000762,6.076315118551882
E14000763,4.817209977563679
E14000764,3.181506065461204
E14000765,6.210359408033827
E14000766,6.056601695848475
E14000767,1.7531195215014954
E14000768,3.0336694582122714
E14000769,4.782847718526663
E14000770,2.926329651035189
E14000771,7.755830822452851
E14000772,5.215209928703459
E14000773,7.63101784311525
E14000774,3.2837670384138784
E14000775,6.694598779488113
E14000776,2.051521761711852
E14000777,3.647600581677169
E14000778,8.650813943577942
E14000779,5.303114882215027
E14000780,1.6349516326808664
E14000781,7.270244215938303
E14000782,4.875166198847688
E14000783,3.465595178302361
E14000784,6.45565653400188
E14000785,5.34841075794621
E14000786,4.22516900676027
E14000787,7.998420065172311
E14000788,8.137629710540688
E14000789,7.0613409415121255
E14000790,6.462264150943396
E14000791,3.325942350332594
E14000792,2.725154938244473
E14000793,2.354405055261424
E14000794,9.934132383111976
E14000795,6.131046415406605
E14000796,7.296334597265311
E14000797,1.9148248973377011
E14000798,4.422370390529324
E14000799,3.28
E14000800,6.801297478288165
E14000801,7.091669154971633
E14000802,3.625248791583736
E14000803,2.505567928730512
E14000804,4.3078962317742855
E14000805,4.405058043117744
E14000806,2.5919838159059303
E14000807,3.167273824164095
E14000808,5.115363212191259
E14000809,3.567653276955603
E14000810,6.386572363559591
